,artists,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
786,ed sheeran,i don't care (with justin bieber),0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,2
787,mkto,classic,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,2
788,maroon 5,maps,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,2
789,james arthur,say you won't let go,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676,2
790,little mix,black magic,0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318,2
791,shawn mendes,mercy,0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479,4
792,r. city,locked away (feat. adam levine),0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094,2
793,adele,set fire to the rain,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515,2
794,bruno mars,grenade,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784,2
795,ed sheeran,beautiful people (feat. khalid),0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,2
796,5 seconds of summer,she looks so perfect,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795,0
797,justin timberlake,mirrors,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919,2
798,zedd,the middle,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,2
799,little mix,shout out to my ex,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,2
800,jonas brothers,sucker,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499,1
801,maroon 5,sugar,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,0
802,ed sheeran,photograph,0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553,0
803,jessie j,"flashlight - from ""pitch perfect 2"" soundtrack",0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213,0
804,katy perry,never really over,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,0
805,5 seconds of summer,youngblood,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,0
806,adele,when we were young,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891,1
807,ed sheeran,happier,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269,2
808,meghan trainor,dear future husband,0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363,2
809,taylor swift,we are never ever getting back together,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,2
810,lewis capaldi,someone you loved,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,2
811,shawn mendes,señorita,0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521,2
812,rachel platten,fight song,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356,1
813,ed sheeran,perfect,0.484,0.538,7,-9.218,1,0.0296,0.00306,3.54e-05,0.0711,0.498,102.073,2
814,katy perry,last friday night (t.g.i.f.),0.623,0.156,6,-15.098,1,0.0308,0.912,0.0,0.141,0.329,97.235,0
815,dua lipa,idgaf,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439,2
816,magic!,rude,0.603,0.596,9,-8.029,1,0.0728,0.395,2.31e-06,0.451,0.502,128.129,2
817,the chainsmokers,something just like this,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,0
818,taylor swift,me! (feat. brendon urie of panic! at the disco),0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394,4
819,charlie puth,attention,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499,1
820,onerepublic,counting stars,0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958,4
821,meghan trainor,like i'm gonna lose you (feat. john legend),0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,2
822,selena gomez,wolves,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664,2
823,jessie j,domino,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142,0
824,zayn,"i don’t wanna live forever (fifty shades darker) - from ""fifty shades darker (original motion picture soundtrack)""",0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,1
825,sam smith,too good at goodbyes,0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555,0
826,john legend,all of me,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,2
827,bruno mars,when i was your man,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,2
828,halsey,without me,0.243,0.655,2,-4.597,0,0.0363,0.659,1.28e-06,0.0821,0.575,111.965,4
829,carly rae jepsen,i really like you,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,2
830,charlie puth,one call away,0.321,0.0631,6,-21.616,0,0.0351,0.833,0.83,0.141,0.264,135.605,3
831,justin bieber,what do you mean?,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639,2
832,adele,all i ask,0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235,0
833,ariana grande,"thank u, next",0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564,0
